id,title,difficulty,category,leetcode_url,note_path,status
1,两数之和,简单,哈希,https://leetcode.cn/problems/two-sum/,题目/01-哈希/0001-两数之和.md,todo
49,字母异位词分组,中等,哈希,https://leetcode.cn/problems/group-anagrams/,题目/01-哈希/0049-字母异位词分组.md,todo
128,最长连续序列,中等,哈希,https://leetcode.cn/problems/longest-consecutive-sequence/,题目/01-哈希/0128-最长连续序列.md,todo
283,移动零,简单,双指针,https://leetcode.cn/problems/move-zeroes/,题目/02-双指针/0283-移动零.md,todo
11,盛最多水的容器,中等,双指针,https://leetcode.cn/problems/container-with-most-water/,题目/02-双指针/0011-盛最多水的容器.md,todo
15,三数之和,中等,双指针,https://leetcode.cn/problems/3sum/,题目/02-双指针/0015-三数之和.md,todo
42,接雨水,困难,双指针,https://leetcode.cn/problems/trapping-rain-water/,题目/02-双指针/0042-接雨水.md,todo
3,无重复字符的最长子串,中等,滑动窗口,https://leetcode.cn/problems/longest-substring-without-repeating-characters/,题目/03-滑动窗口/0003-无重复字符的最长子串.md,todo
438,找到字符串中所有字母异位词,中等,滑动窗口,https://leetcode.cn/problems/find-all-anagrams-in-a-string/,题目/03-滑动窗口/0438-找到字符串中所有字母异位词.md,todo
560,和为 K 的子数组,中等,子串,https://leetcode.cn/problems/subarray-sum-equals-k/,题目/04-子串/0560-和为 K 的子数组.md,todo
239,滑动窗口最大值,困难,子串,https://leetcode.cn/problems/sliding-window-maximum/,题目/04-子串/0239-滑动窗口最大值.md,todo
76,最小覆盖子串,困难,子串,https://leetcode.cn/problems/minimum-window-substring/,题目/04-子串/0076-最小覆盖子串.md,todo
53,最大子数组和,中等,普通数组,https://leetcode.cn/problems/maximum-subarray/,题目/05-普通数组/0053-最大子数组和.md,todo
56,合并区间,中等,普通数组,https://leetcode.cn/problems/merge-intervals/,题目/05-普通数组/0056-合并区间.md,todo
189,轮转数组,中等,普通数组,https://leetcode.cn/problems/rotate-array/,题目/05-普通数组/0189-轮转数组.md,todo
238,除自身以外数组的乘积,中等,普通数组,https://leetcode.cn/problems/product-of-array-except-self/,题目/05-普通数组/0238-除自身以外数组的乘积.md,todo
41,缺失的第一个正数,困难,普通数组,https://leetcode.cn/problems/first-missing-positive/,题目/05-普通数组/0041-缺失的第一个正数.md,todo
73,矩阵置零,中等,矩阵,https://leetcode.cn/problems/set-matrix-zeroes/,题目/06-矩阵/0073-矩阵置零.md,todo
54,螺旋矩阵,中等,矩阵,https://leetcode.cn/problems/spiral-matrix/,题目/06-矩阵/0054-螺旋矩阵.md,todo
48,旋转图像,中等,矩阵,https://leetcode.cn/problems/rotate-image/,题目/06-矩阵/0048-旋转图像.md,todo
240,搜索二维矩阵 II,中等,矩阵,https://leetcode.cn/problems/search-a-2d-matrix-ii/,题目/06-矩阵/0240-搜索二维矩阵 II.md,todo
160,相交链表,简单,链表,https://leetcode.cn/problems/intersection-of-two-linked-lists/,题目/07-链表/0160-相交链表.md,todo
206,反转链表,简单,链表,https://leetcode.cn/problems/reverse-linked-list/,题目/07-链表/0206-反转链表.md,todo
234,回文链表,简单,链表,https://leetcode.cn/problems/palindrome-linked-list/,题目/07-链表/0234-回文链表.md,todo
141,环形链表,简单,链表,https://leetcode.cn/problems/linked-list-cycle/,题目/07-链表/0141-环形链表.md,todo
142,环形链表 II,中等,链表,https://leetcode.cn/problems/linked-list-cycle-ii/,题目/07-链表/0142-环形链表 II.md,todo
21,合并两个有序链表,简单,链表,https://leetcode.cn/problems/merge-two-sorted-lists/,题目/07-链表/0021-合并两个有序链表.md,todo
2,两数相加,中等,链表,https://leetcode.cn/problems/add-two-numbers/,题目/07-链表/0002-两数相加.md,todo
19,删除链表的倒数第 N 个结点,中等,链表,https://leetcode.cn/problems/remove-nth-node-from-end-of-list/,题目/07-链表/0019-删除链表的倒数第 N 个结点.md,todo
24,两两交换链表中的节点,中等,链表,https://leetcode.cn/problems/swap-nodes-in-pairs/,题目/07-链表/0024-两两交换链表中的节点.md,todo
25,K 个一组翻转链表,困难,链表,https://leetcode.cn/problems/reverse-nodes-in-k-group/,题目/07-链表/0025-K 个一组翻转链表.md,todo
138,随机链表的复制,中等,链表,https://leetcode.cn/problems/copy-list-with-random-pointer/,题目/07-链表/0138-随机链表的复制.md,todo
148,排序链表,中等,链表,https://leetcode.cn/problems/sort-list/,题目/07-链表/0148-排序链表.md,todo
23,合并 K 个升序链表,困难,链表,https://leetcode.cn/problems/merge-k-sorted-lists/,题目/07-链表/0023-合并 K 个升序链表.md,todo
146,LRU 缓存,中等,链表,https://leetcode.cn/problems/lru-cache/,题目/07-链表/0146-LRU 缓存.md,todo
94,二叉树的中序遍历,简单,二叉树,https://leetcode.cn/problems/binary-tree-inorder-traversal/,题目/08-二叉树/0094-二叉树的中序遍历.md,todo
104,二叉树的最大深度,简单,二叉树,https://leetcode.cn/problems/maximum-depth-of-binary-tree/,题目/08-二叉树/0104-二叉树的最大深度.md,todo
226,翻转二叉树,简单,二叉树,https://leetcode.cn/problems/invert-binary-tree/,题目/08-二叉树/0226-翻转二叉树.md,todo
101,对称二叉树,简单,二叉树,https://leetcode.cn/problems/symmetric-tree/,题目/08-二叉树/0101-对称二叉树.md,todo
543,二叉树的直径,简单,二叉树,https://leetcode.cn/problems/diameter-of-binary-tree/,题目/08-二叉树/0543-二叉树的直径.md,todo
102,二叉树的层序遍历,中等,二叉树,https://leetcode.cn/problems/binary-tree-level-order-traversal/,题目/08-二叉树/0102-二叉树的层序遍历.md,todo
108,将有序数组转换为二叉搜索树,简单,二叉树,https://leetcode.cn/problems/convert-sorted-array-to-binary-search-tree/,题目/08-二叉树/0108-将有序数组转换为二叉搜索树.md,todo
98,验证二叉搜索树,中等,二叉树,https://leetcode.cn/problems/validate-binary-search-tree/,题目/08-二叉树/0098-验证二叉搜索树.md,todo
230,二叉搜索树中第 K 小的元素,中等,二叉树,https://leetcode.cn/problems/kth-smallest-element-in-a-bst/,题目/08-二叉树/0230-二叉搜索树中第 K 小的元素.md,todo
199,二叉树的右视图,中等,二叉树,https://leetcode.cn/problems/binary-tree-right-side-view/,题目/08-二叉树/0199-二叉树的右视图.md,todo
114,二叉树展开为链表,中等,二叉树,https://leetcode.cn/problems/flatten-binary-tree-to-linked-list/,题目/08-二叉树/0114-二叉树展开为链表.md,todo
105,从前序与中序遍历序列构造二叉树,中等,二叉树,https://leetcode.cn/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,题目/08-二叉树/0105-从前序与中序遍历序列构造二叉树.md,todo
437,路径总和 III,中等,二叉树,https://leetcode.cn/problems/path-sum-iii/,题目/08-二叉树/0437-路径总和 III.md,todo
236,二叉树的最近公共祖先,中等,二叉树,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree/,题目/08-二叉树/0236-二叉树的最近公共祖先.md,todo
124,二叉树中的最大路径和,困难,二叉树,https://leetcode.cn/problems/binary-tree-maximum-path-sum/,题目/08-二叉树/0124-二叉树中的最大路径和.md,todo
